0,0
0,2
0,2
2,2
4,2
6,2
8,2
10,2
12,2
14,2
16,2
18,2
20,2
22,2
24,2
26,2
26,0
28,0
30,0
32,0
34,-2
36,-2
38,-2
40,-2
42,-2
44,-2
46,-2
48,-2
50,-2
0,0
-8,0
0,0
-22,-2
0,0
-14,0
0,0
-18,0
0,0
-16,0
0,0
-8,0
0,0
-10,0
0,0
-12,-4
0,0
-8,0
0,0
-6,-2
0,0
-10,-2
0,0
-32,0
0,0
-18,0
0,0
-20,-2
0,0
-20,0
0,0
-18,-4
0,0
-14,-2
0,0
-16,0
0,0
-12,-4
0,0
-16,-2
0,0
-16,-2
0,0
-20,-4
0,0
-18,-4
0,0
-8,-2
0,0
-4,-2
0,0
-12,0
0,0
-6,0
0,0
-6,-2
0,0
-2,0
0,0
-4,0
0,0
6,-12
0,0
22,-18
0,0
46,-32
0,0
48,-18
0,0
62,-14
0,0
46,-14
0,0
48,0
0,0
24,0
0,0
66,0
0,0
34,2
0,0
38,0
0,0
38,6
0,0
42,2
0,0
16,2
0,0
4,0
0,0
0,2
0,0
2,0
0,0
0,0
-6,0
0,0
-16,-8
0,0
-14,-2
0,0
-66,-8
0,0
-44,-4
0,0
-38,-10
0,0
-30,-4
0,0
-22,-6
0,0
-26,-2
0,0
-18,0
0,0
-4,0
0,0
-18,-6
0,0
-22,-6
0,0
-18,0
0,0
-14,-2
0,0
-12,0
0,0
-12,0
0,0
-12,0
0,0
-4,0
0,0
-4,6
0,0
2,20
0,0
18,38
0,0
16,24
0,0
60,32
0,0
88,44
0,0
96,8
0,0
82,4
0,0
64,-16
0,0
74,-12
0,0
44,-12
0,0
36,-34
0,0
16,-30
0,0
2,-52
0,0
-18,-88
0,0
-12,-22
0,0
-22,-24
0,0
-48,-20
0,0
-38,0
0,0
-28,6
0,0
-34,20
0,0
-30,24
0,0
-20,34
0,0
-14,42
0,0
-4,40
0,0
0,34
0,0
16,26
0,0
20,22
0,0
28,20
0,0
38,6
0,0
28,6
0,0
16,2
0,0
6,0
0,0
-2,0
0,0
-16,-10
0,0
-56,-6
0,0
-70,-4
0,0
-78,-4
0,0
-78,6
0,0
-28,2
0,0
-18,10
0,0
-10,4
0,0
-6,2
0,0
-2,0
0,0
-10,-2
0,0
-10,-14
0,0
-12,-14
0,0
-26,-50
0,0
-12,-20
0,0
-10,-30
0,0
-6,-44
0,0
0,-10
0,0
12,-6
0,0
14,-2
0,0
24,0
0,0
20,0
0,0
18,2
0,0
52,16
0,0
34,12
0,0
20,10
0,0
22,4
0,0
2,8
0,0
4,-4
0,0
8,-16
0,0
-2,0
0,0
-18,-6
0,0
-22,-4
0,0
-74,-28
0,0
-30,-10
0,0
-52,-16
0,0
-78,-22
0,0
-76,-28
0,0
-12,-6
0,0
-2,-2
0,0
0,-2
0,0
38,4
0,0
48,16
0,0
36,14
0,0
28,16
0,0
4,4
0,0
0,4
0,0
0,4
0,0
-6,4
0,0
-4,4
0,0
-2,4
0,0
-2,2
0,0
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-2
0,-6
0,-6
0,-6
0,-6
0,-6
0,-10
0,-10
0,-10
0,-10
0,-16
0,-16
0,-16
0,-16
0,-20
0,-20
0,-20
0,-20
0,-20
0,-22
0,-22
0,-22
0,-22
0,-26
0,-26
0,-26
0,-26
0,-26
0,-30
0,-30
0,-30
0,-30
0,-32
0,-36
0,-38
0,-40
0,-42
0,-44
-2,-44
-2,-46
-2,-48
-2,-50
-4,-50
-4,-46
-4,-44
-2,-38
-2,-32
0,-28
0,-24
0,-22
0,-20
0,-18
0,-16
2,-16
2,-16
2,-16
2,-16
2,-16
2,-16
2,-16
2,-16
2,-16
2,-12
2,-12
2,-12
2,-10
2,-10
2,-10
2,-6
2,-6
2,-6
2,-6
4,-2
4,-2
4,-2
4,2
4,2
